Year,SN_ITK_DEFC,SN_ITK_DEFCN
2012.0,17.0,2.6
2013.0,17.6,2.7
2014.0,17.7,2.8
2015.0,17.3,2.8
2016.0,16.4,2.7
2017.0,16.3,2.8
2018.0,16.0,2.8
2019.0,16.8,2.9
2020.0,,
2021.0,,
