Year,AG_PRD_FIESMS,AG_PRD_FIESMSN,AG_PRD_FIESS,AG_PRD_FIESSN
2012.0,,,,
2013.0,,,,
2014.0,,,,
2015.0,42.7,693.5,16.1,261.1
2016.0,44.2,733.1,17.0,282.2
2017.0,43.5,736.0,17.1,289.8
2018.0,45.2,780.2,18.1,312.5
2019.0,49.7,872.9,19.2,337.4
2020.0,,,,
2021.0,,,,
