Year,AG_LND_TOTL,AG_LND_FRSTN,AG_LND_FRST
2012.0,,,
2013.0,,,
2014.0,,,
2015.0,10716.0,3585.8,33.46211
2016.0,10716.0,3574.2,33.35386
2017.0,10716.0,3562.6,33.24561
2018.0,10716.0,3551.0,33.13736
2019.0,10716.0,3539.4,33.02912
2020.0,10716.0,3527.8,32.92087
2021.0,,,
