Year,SE_PRE_PARTN
2012.0,75.45387
2013.0,75.84728
2014.0,77.73075
2015.0,80.25983000000002
2016.0,78.12357
2017.0,81.21461
2018.0,85.12711999999998
2019.0,83.89499
2020.0,
2021.0,
