Year,ER_CBD_SMTA,ER_CBD_ORSPGRFA,ER_CBD_PTYPGRFA
2012,46,,1
2013,57,,1
2014,63,,1
2015,67,,1
2016,84,0,1
2017,94,0,1
2018,103,0,1
2019,121,1,1
2020,121,1,1
2021,121,1,1
