UniqueID,SL_TLF_UEMDIS BOTHSEX                  PD      ,SL_TLF_UEMDIS BOTHSEX                  PWD      ,SL_TLF_UEMDIS BOTHSEX                  _T      
SL_TLF_UEMDIS BOTHSEX                  PD      ,,,
SL_TLF_UEMDIS BOTHSEX                  PWD      ,,1.0,1.0
SL_TLF_UEMDIS BOTHSEX                  _T      ,,1.0,1.0
