UniqueID,SG_INT_MBRDEV                         ECOSOC,SG_INT_MBRDEV                         IABD,SG_INT_MBRDEV                         IBRD,SG_INT_MBRDEV                         IFC,SG_INT_MBRDEV                         IMF,SG_INT_MBRDEV                         UNGA,SG_INT_MBRDEV                         WTO,SG_INT_VRTDEV                         ECOSOC,SG_INT_VRTDEV                         IABD,SG_INT_VRTDEV                         IBRD,SG_INT_VRTDEV                         IFC,SG_INT_VRTDEV                         IMF,SG_INT_VRTDEV                         UNGA,SG_INT_VRTDEV                         WTO
SG_INT_MBRDEV                         ECOSOC,,,,,,,,,,,,,,
SG_INT_MBRDEV                         IABD,,,,,,,,,,,,,,
SG_INT_MBRDEV                         IBRD,,,1.0,-0.31622776601683794,1.0,2.793758823280759e-14,0.9234841160326395,,-0.5163977794943324,0.9203129838127663,0.48610856297703636,-0.2981252874537718,,0.9235947872314333
SG_INT_MBRDEV                         IFC,,,-0.31622776601683794,1.0,-0.31622776601683794,-1.2412670766223952e-11,-0.29203131896503604,,0.4743416490252569,-0.3591489524574961,-0.93474805047428,0.1007033682113155,,-0.2912950143794336
SG_INT_MBRDEV                         IMF,,,1.0,-0.31622776601683794,1.0,2.793758823280759e-14,0.9234841160326395,,-0.5163977794943324,0.9203129838127663,0.48610856297703636,-0.2981252874537718,,0.9235947872314333
SG_INT_MBRDEV                         UNGA,,,2.793758823280759e-14,-1.2412670766223952e-11,2.793758823280759e-14,1.0,0.0,,,-3.2273149393534554e-15,3.2122701550162254e-14,3.3244621134524434e-15,,-3.191305480439536e-15
SG_INT_MBRDEV                         WTO,,,0.9234841160326395,-0.29203131896503604,0.9234841160326395,0.0,1.0,,-0.4730330740740581,0.8421681174868308,0.44891353657674504,-0.6414223820223525,,0.9999969817299305
SG_INT_VRTDEV                         ECOSOC,,,,,,,,,,,,,,
SG_INT_VRTDEV                         IABD,,,-0.5163977794943324,0.4743416490252569,-0.5163977794943324,,-0.4730330740740581,,1.0,-0.6355439276053874,-0.5465990228707708,0.14979209969218546,,-0.4730295995399277
SG_INT_VRTDEV                         IBRD,,,0.9203129838127663,-0.3591489524574961,0.9203129838127663,-3.2273149393534554e-15,0.8421681174868308,,-0.6355439276053874,1.0,0.6189210159407909,-0.24860891583670683,,0.8430602723570126
SG_INT_VRTDEV                         IFC,,,0.48610856297703636,-0.93474805047428,0.48610856297703636,3.2122701550162254e-14,0.44891353657674504,,-0.5465990228707708,0.6189210159407909,1.0,-0.1452206791519948,,0.4489314059101273
SG_INT_VRTDEV                         IMF,,,-0.2981252874537718,0.1007033682113155,-0.2981252874537718,3.3244621134524434e-15,-0.6414223820223525,,0.14979209969218546,-0.24860891583670683,-0.1452206791519948,1.0,,-0.6411440555761969
SG_INT_VRTDEV                         UNGA,,,,,,,,,,,,,,
SG_INT_VRTDEV                         WTO,,,0.9235947872314333,-0.2912950143794336,0.9235947872314333,-3.191305480439536e-15,0.9999969817299305,,-0.4730295995399277,0.8430602723570126,0.4489314059101273,-0.6411440555761969,,1.0
