UniqueID,SH_SAN_DEFECT          ALLAREA               ,SH_SAN_HNDWSH          ALLAREA               
SH_SAN_DEFECT          ALLAREA               ,1.0,-0.7745966692414834
SH_SAN_HNDWSH          ALLAREA               ,-0.7745966692414834,1.0
