UniqueID,SH_DYN_IMRT BOTHSEX                 <1Y       ,SH_DYN_IMRT FEMALE                 <1Y       ,SH_DYN_IMRT MALE                 <1Y       ,SH_DYN_IMRTN BOTHSEX                 <1Y       ,SH_DYN_IMRTN FEMALE                 <1Y       ,SH_DYN_IMRTN MALE                 <1Y       ,SH_DYN_MORT BOTHSEX                 <5Y       ,SH_DYN_MORTN BOTHSEX                 <5Y       ,SH_DYN_MORTN FEMALE                 <5Y       ,SH_DYN_MORTN MALE                 <5Y       
SH_DYN_IMRT BOTHSEX                 <1Y       ,1.0,0.999880691422809,0.9998925597884643,0.9999785253376751,0.999974552384292,0.9999431503850235,0.9998539390420275,0.9998645352257434,0.999744148111552,0.9999266046678739
SH_DYN_IMRT FEMALE                 <1Y       ,0.999880691422809,1.0,0.9996935349991327,0.999871927555031,0.9999038117161967,0.9998085027741589,0.9999188937474502,0.9998231529570445,0.9997426701141512,0.9998527952765773
SH_DYN_IMRT MALE                 <1Y       ,0.9998925597884643,0.9996935349991327,1.0,0.9999223349756192,0.9998294945399182,0.9999564904284909,0.9997234214533115,0.9997715767460145,0.9996110069257104,0.9998663043888233
SH_DYN_IMRTN BOTHSEX                 <1Y       ,0.9999785253376751,0.999871927555031,0.9999223349756192,1.0,0.9999724028725249,0.9999831073294277,0.9999027736171836,0.9999350797552964,0.9998358460323624,0.9999799561603891
SH_DYN_IMRTN FEMALE                 <1Y       ,0.999974552384292,0.9999038117161967,0.9998294945399182,0.9999724028725249,1.0,0.9999123283192987,0.9999124484881345,0.9999064863896593,0.9998126272086527,0.9999469961425812
SH_DYN_IMRTN MALE                 <1Y       ,0.9999431503850235,0.9998085027741589,0.9999564904284909,0.9999831073294277,0.9999123283192987,1.0,0.9998567237792638,0.9999189690210836,0.9998155341767764,0.9999672600854971
SH_DYN_MORT BOTHSEX                 <5Y       ,0.9998539390420275,0.9999188937474502,0.9997234214533115,0.9999027736171836,0.9999124484881345,0.9998567237792638,1.0,0.9999326238322807,0.9999004077206808,0.9999230377970638
SH_DYN_MORTN BOTHSEX                 <5Y       ,0.9998645352257434,0.9998231529570445,0.9997715767460145,0.9999350797552964,0.9999064863896593,0.9999189690210836,0.9999326238322807,1.0,0.999975717986237,0.9999839638313027
SH_DYN_MORTN FEMALE                 <5Y       ,0.999744148111552,0.9997426701141512,0.9996110069257104,0.9998358460323624,0.9998126272086527,0.9998155341767764,0.9999004077206808,0.999975717986237,1.0,0.9999202166462834
SH_DYN_MORTN MALE                 <5Y       ,0.9999266046678739,0.9998527952765773,0.9998663043888233,0.9999799561603891,0.9999469961425812,0.9999672600854971,0.9999230377970638,0.9999839638313027,0.9999202166462834,1.0
