UniqueID,SH_DYN_NMRT BOTHSEX                 <1M       ,SH_DYN_NMRTN BOTHSEX                 <1M       
SH_DYN_NMRT BOTHSEX                 <1M       ,1.0,0.9988047723140909
SH_DYN_NMRTN BOTHSEX                 <1M       ,0.9988047723140909,1.0
