UniqueID,SP_ACS_BSRVH2O          ALLAREA               ,SP_ACS_BSRVSAN          ALLAREA               
SP_ACS_BSRVH2O          ALLAREA               ,1.0,0.9116071895198007
SP_ACS_BSRVSAN          ALLAREA               ,0.9116071895198007,1.0
