UniqueID,SL_ISV_IFEM BOTHSEX                    ISIC4_A    ,SL_ISV_IFEM BOTHSEX                    NONAGR    ,SL_ISV_IFEM BOTHSEX                    TOTAL    
SL_ISV_IFEM BOTHSEX                    ISIC4_A    ,1.0,0.495918095285077,0.6387706056510718
SL_ISV_IFEM BOTHSEX                    NONAGR    ,0.495918095285077,1.0,0.9652727854297681
SL_ISV_IFEM BOTHSEX                    TOTAL    ,0.6387706056510718,0.9652727854297681,1.0
