UniqueID,SL_EMP_EARN BOTHSEX              isco08          ,SL_EMP_EARN BOTHSEX              isco08-0          ,SL_EMP_EARN BOTHSEX              isco08-1          ,SL_EMP_EARN BOTHSEX              isco08-2          ,SL_EMP_EARN BOTHSEX              isco08-3          ,SL_EMP_EARN BOTHSEX              isco08-4          ,SL_EMP_EARN BOTHSEX              isco08-5          ,SL_EMP_EARN BOTHSEX              isco08-6          ,SL_EMP_EARN BOTHSEX              isco08-7          ,SL_EMP_EARN BOTHSEX              isco08-8          ,SL_EMP_EARN BOTHSEX              isco08-9          
SL_EMP_EARN BOTHSEX              isco08          ,1.0,0.35690688562244943,-0.2924010986755222,0.6894488589804515,-0.631323885322593,0.9626281228813183,0.7838628883749329,0.33997865599337607,-0.03924191810662356,0.8921756257285277,0.6368427278155212
SL_EMP_EARN BOTHSEX              isco08-0          ,0.35690688562244943,1.0,0.3158400097981635,-0.0007816111365080235,-0.390530744612819,0.2584364039437166,0.7420444847006601,-0.8498581745072237,0.03147622868545242,0.4431867601600112,0.2095184427390094
SL_EMP_EARN BOTHSEX              isco08-1          ,-0.2924010986755222,0.3158400097981635,1.0,-0.8519859696752302,-0.1533443428253771,-0.49911091340508373,-0.6266051048793451,-0.7368622555961286,0.5621852652060525,-0.6187354223742629,0.037291426386984204
SL_EMP_EARN BOTHSEX              isco08-2          ,0.6894488589804515,-0.0007816111365080235,-0.8519859696752302,1.0,-0.10134474783508013,0.8526223427181853,0.8087867930273954,0.5170424506724443,-0.31740024867418726,0.9042401403010105,0.13310617651002
SL_EMP_EARN BOTHSEX              isco08-3          ,-0.631323885322593,-0.390530744612819,-0.1533443428253771,-0.10134474783508013,1.0,-0.5062493628973775,-0.6259562506684091,-0.026571646824985036,0.38314051266245824,-0.45798284181787674,-0.741220865556883
SL_EMP_EARN BOTHSEX              isco08-4          ,0.9626281228813183,0.2584364039437166,-0.49911091340508373,0.8526223427181853,-0.5062493628973775,1.0,0.8649238091073985,0.40654190326830253,-0.15003057150901006,0.9707549929012549,0.483639358843741
SL_EMP_EARN BOTHSEX              isco08-5          ,0.7838628883749329,0.7420444847006601,-0.6266051048793451,0.8087867930273954,-0.6259562506684091,0.8649238091073985,1.0,0.7195876011265815,-0.600273593926754,0.9261997229003064,0.5132949211879412
SL_EMP_EARN BOTHSEX              isco08-6          ,0.33997865599337607,-0.8498581745072237,-0.7368622555961286,0.5170424506724443,-0.026571646824985036,0.40654190326830253,0.7195876011265815,1.0,-0.6684304542627627,0.5976518011685775,0.48685124021810416
SL_EMP_EARN BOTHSEX              isco08-7          ,-0.03924191810662356,0.03147622868545242,0.5621852652060525,-0.31740024867418726,0.38314051266245824,-0.15003057150901006,-0.600273593926754,-0.6684304542627627,1.0,-0.2825092792369322,-0.15138241834131497
SL_EMP_EARN BOTHSEX              isco08-8          ,0.8921756257285277,0.4431867601600112,-0.6187354223742629,0.9042401403010105,-0.45798284181787674,0.9707549929012549,0.9261997229003064,0.5976518011685775,-0.2825092792369322,1.0,0.4770063101999828
SL_EMP_EARN BOTHSEX              isco08-9          ,0.6368427278155212,0.2095184427390094,0.037291426386984204,0.13310617651002,-0.741220865556883,0.483639358843741,0.5132949211879412,0.48685124021810416,-0.15138241834131497,0.4770063101999828,1.0
